กลิ่น (scent),ขนาด (size),เกรด (grade),SKU,Barcode
Patchouli Absolute TRY ME!,30 ml.,EDP+,PAM-30 ml,PAM30
Patchouli Absolute TRY ME!,50 ml.,EDP+,PAM-50 ml,PAM50
Perfect Pear,10 ml.,EDP,PPR-10 ml,8857128012084
Perfect Pear,30 ml.,EDP,PPR-30 ml,8857128011973
Perfect Pear,4 ml.,EDP,PPR-4 ml,8857128012085
Perfect Pear,50 ml.,EDP,PPR-50 ml,8857128011201
Perfect Pear TRY ME!,30 ml.,EDP,PPM-30 ml,PPM30
Perfect Pear TRY ME!,50 ml.,EDP,PPM-50 ml,PPM50
Persist,10 ml.,EDP,PET-10 ml,8857128012042
Persist,30 ml.,EDP,PET-30 ml,8857128011881
Persist,4 ml.,EDP,PET-4 ml,8857128012043
Persist,50 ml.,EDP,PET-50 ml,8857128011041
Persist TRY ME!,30 ml.,EDP,PEM-30 ml,PEM30
Persist TRY ME!,50 ml.,EDP,PEM-50 ml,PEM50
Queen,10 ml.,PARFUM,QUN-10 ml,8857128012116
Queen,30 ml.,PARFUM,QUN-30 ml,8857128012001
Queen,4 ml.,PARFUM,QUN-4 ml,8857128012117
Queen,50 ml.,PARFUM,QUN-50 ml,8857128011607
Queen TRY ME!,30 ml.,PARFUM,QUM-30 ml,QUM30
Queen TRY ME!,50 ml.,PARFUM,QUM-50 ml,QUM50
Rosarine,10 ml.,EDP,ROS-10ml,8857128012160
Rosarine,30 ml.,EDP,ROS-30ml,8857128012159
Rosarine,4 ml.,EDP,ROS-4ml,8857128012161
Rosarine,50 ml.,EDP,ROS-50ml,8857128011621
Rosarine TRY ME!,50 ml.,EDP,ROST-50ml,ROS50
Rose Oud,10 ml,EDP+,,8857128012138
Rose Oud,30 ml.,EDP+,ROD-30 ml,8857128011942
Rose Oud,4 ml,EDP+,,8857128012139
Rose Oud,50 ml.,EDP+,ROD-50 ml,8857128011386
Rose Oud TRY ME!,30 ml.,EDP+,ROM-30 ml,ROM30
Rose Oud TRY ME!,50 ml.,EDP+,ROM-50 ml,ROM50
Savoury,10 ml.,PARFUM,SAP-10 ml,8857128012118
Savoury,30 ml.,PARFUM,SAY-30 ml,8857128012002
Savoury,4 ml.,PARFUM,SAP-4 ml,8857128012119
Savoury,50 ml.,PARFUM,SAP-50 ml,8857128011614
Savoury TRY ME!,30 ml.,PARFUM,SAM-30 ml,SAM30
Savoury TRY ME!,50 ml.,PARFUM,SAM-50 ml,SAM50
Secret of Peach,10 ml.,EDP,SPH-10 ml,8857128012037
Secret of Peach,30 ml.,EDP,SPH-30 ml,8857128011850
Secret of Peach,4 ml.,EDP,SPH-4 ml,8857128012038
Secret of Peach,50 ml.,EDP,SPH-50 ml,8857128011119
Secret of Peach TRY ME!,30 ml.,EDP,SPM-30 ml,SPM30
Secret of Peach TRY ME!,50 ml.,EDP,SPM-50 ml,SPM50
Senorita,10 ml.,EDP,SEA-10 ml,8857128012039
Senorita,30 ml.,EDP,SEA-30 ml,8857128011867
Senorita,4 ml.,EDP,SEA-4 ml,8857128012040
Senorita,50 ml.,EDP,SEA-50 ml,8857128011171
Senorita TRY ME!,30 ml.,EDP,SEM-30 ml,SEM30
Senorita TRY ME!,50 ml.,EDP,SEM-50 ml,SEM50
Shadow De Bacci Light,10 ml.,EDP,SBT-10 ml,8857128012093
Shadow De Bacci Light,30 ml.,EDP,SBT-30 ml,8857128012092
Shadow De Bacci Light,4 ml.,EDP,SBT-4 ml,8857128012094
Shadow De Bacci Light,50 ml.,EDP,SBT-50 ml,8857128011294
Shadow De Bacci Light TRY ME!,30 ml.,EDP,SLM-30 ml,SLM30
Shadow De Bacci Light TRY ME!,50 ml.,EDP,SLM-50 ml,SLM50
Sicilia,10 ml.,EDP,SIA-10 ml,8857128012055
Sicilia,30 ml.,EDP,SIA-30 ml,8857128011911
Sicilia,4 ml.,EDP,SIA-4 ml,8857128012056
Sicilia,50 ml.,EDP,SIA-50 ml,8857128011140
Sicilia TRY ME!,30 ml.,EDP,SIM-30 ml,SIM30
Sicilia TRY ME!,50 ml.,EDP,SIM-50 ml,SIM50
Silver,10 ml.,EDP,SIL-10ml,8857128012163
Silver,30 ml.,EDP,SIL-30ml,8857128012162
Silver,4 ml.,EDP,SIL-4ml,8857128012164
Silver,50 ml.,EDP,SIL-50ml,8857128011638
Silver TRY ME!,50 ml.,EDP,SILT-50ml,SIL50
Soir,10 ml.,EDP,SOR-10 ml,8857128012146
Soir,30 ml.,EDP,SOR-30 ml,8857128012145
Soir,4 ml.,EDP,SOR-4 ml,8857128012147
Soir,50 ml.,EDP,SOR-50 ml,8857128012144
Soir TRY ME!,30 ml.,EDP,SOM-30 ml,SOM30
Soir TRY ME!,50 ml.,EDP,SOM-50 ml,SOM50
Soul of the Fire,50 ml,EDP,,8857128011485
Sparkling Mandarin,10 ml.,EDP+,SMN-10 ml,8857128012108
Sparkling Mandarin,30 ml.,EDP+,SMN-30 ml,8857128012010
Sparkling Mandarin,4 ml.,EDP+,SMN-4 ml,8857128012109
Sparkling Mandarin,50 ml.,EDP+,SMN-50 ml,8857128011713
Sparkling Mandarin TRY ME!,30 ml.,EDP+,SMM-30 ml,SMM30
Sparkling Mandarin TRY ME!,50 ml.,EDP+,SMM-50 ml,SMM50
Teenage Dream,10 ml.,EDP,TDM-10 ml,8857128012070
Teenage Dream,30 ml.,EDP,TDM-30 ml,8857128012069
Teenage Dream,4 ml.,EDP,TDM-4 ml,8857128012071
Teenage Dream,50 ml.,EDP,TDM-50 ml,8857128011096
Teenage Dream TRY ME!,30 ml.,EDP,TEM-30 ml,TEM30
